"filename", "language", "JSON", "Markdown", "Properties", "C#", "HTML", "XML", "CSS", "TypeScript", "JavaScript", "comment", "blank", "total"
"e:\dev\SmartHomePI.NET\SmartHomePI.NET.API\Controllers\AuthController.cs", "C#", 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 17, 95
"e:\dev\SmartHomePI.NET\SmartHomePI.NET.API\Controllers\LightController.cs", "C#", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 4, 35
"e:\dev\SmartHomePI.NET\SmartHomePI.NET.API\Controllers\RoomController.cs", "C#", 0, 0, 0, 95, 0, 0, 0, 0, 0, 4, 16, 115
"e:\dev\SmartHomePI.NET\SmartHomePI.NET.API\Controllers\TemperatureController.cs", "C#", 0, 0, 0, 97, 0, 0, 0, 0, 0, 0, 10, 107
"e:\dev\SmartHomePI.NET\SmartHomePI.NET.API\Controllers\UserDetailsController.cs", "C#", 0, 0, 0, 79, 0, 0, 0, 0, 0, 4, 13, 96
"e:\dev\SmartHomePI.NET\SmartHomePI.NET.API\DTOs\RoomDTO.cs", "C#", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"e:\dev\SmartHomePI.NET\SmartHomePI.NET.API\DTOs\UserDTO.cs", "C#", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 3, 15
"e:\dev\SmartHomePI.NET\SmartHomePI.NET.API\DTOs\UserDetailsDTO.cs", "C#", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 4, 20
"e:\dev\SmartHomePI.NET\SmartHomePI.NET.API\Data\AuthRepository.cs", "C#", 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 16, 87
"e:\dev\SmartHomePI.NET\SmartHomePI.NET.API\Data\BaseRepository.cs", "C#", 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 16, 86
"e:\dev\SmartHomePI.NET\SmartHomePI.NET.API\Data\DataContext.cs", "C#", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
"e:\dev\SmartHomePI.NET\SmartHomePI.NET.API\Data\Interfaces\IAuthRepository.cs", "C#", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
"e:\dev\SmartHomePI.NET\SmartHomePI.NET.API\Data\Interfaces\IBaseRepository.cs", "C#", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 5, 24
"e:\dev\SmartHomePI.NET\SmartHomePI.NET.API\Data\Interfaces\IMailService.cs", "C#", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"e:\dev\SmartHomePI.NET\SmartHomePI.NET.API\Data\Interfaces\IRoomRepository.cs", "C#", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"e:\dev\SmartHomePI.NET\SmartHomePI.NET.API\Data\Interfaces\ITemperatureAndHumidityRepository.cs", "C#", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"e:\dev\SmartHomePI.NET\SmartHomePI.NET.API\Data\Interfaces\IUserDetailsRepository.cs", "C#", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"e:\dev\SmartHomePI.NET\SmartHomePI.NET.API\Data\MailService.cs", "C#", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 3, 55
"e:\dev\SmartHomePI.NET\SmartHomePI.NET.API\Data\RoomRepository.cs", "C#", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 7, 34
"e:\dev\SmartHomePI.NET\SmartHomePI.NET.API\Data\TemperatureAndHumidityRepository.cs", "C#", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"e:\dev\SmartHomePI.NET\SmartHomePI.NET.API\Data\UserDetailsRepository.cs", "C#", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"e:\dev\SmartHomePI.NET\SmartHomePI.NET.API\Helpers\Extensions.cs", "C#", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"e:\dev\SmartHomePI.NET\SmartHomePI.NET.API\Helpers\PushStreamResults.cs", "C#", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 3, 29
"e:\dev\SmartHomePI.NET\SmartHomePI.NET.API\Migrations\20200120185636_AddedUserEntity.Designer.cs", "C#", 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 12, 63
"e:\dev\SmartHomePI.NET\SmartHomePI.NET.API\Migrations\20200120185636_AddedUserEntity.cs", "C#", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 3, 33
"e:\dev\SmartHomePI.NET\SmartHomePI.NET.API\Migrations\20200128145718_RoomAndUserDetails.Designer.cs", "C#", 0, 0, 0, 77, 0, 0, 0, 0, 0, 1, 24, 102
"e:\dev\SmartHomePI.NET\SmartHomePI.NET.API\Migrations\20200128145718_RoomAndUserDetails.cs", "C#", 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 8, 74
"e:\dev\SmartHomePI.NET\SmartHomePI.NET.API\Migrations\20200621114653_Temperature.Designer.cs", "C#", 0, 0, 0, 95, 0, 0, 0, 0, 0, 1, 30, 126
"e:\dev\SmartHomePI.NET\SmartHomePI.NET.API\Migrations\20200621114653_Temperature.cs", "C#", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 7, 37
